t,qx,qy,px,py,H
1.411,0.8504787110799231,-1.1299052889511727,-1.3441355030116375,-1.0117296036194603,10.568880523408621
1.412,0.8491314009904307,-1.1309181508190718,-1.3504850761485923,-1.0139896365587489,10.573566914187186
1.413,0.8477777401378387,-1.131933259219279,-1.3568370186213086,-1.0162226544836415,10.578265132361672
1.414,0.8464177261847071,-1.1329505870956202,-1.3631912665111467,-1.0184285751712434,10.582975061259894
1.415,0.8450513568578969,-1.1339701073099888,-1.3695477551343522,-1.020607316980706,10.587696583686668
1.416,0.8436786299493352,-1.1349917926429307,-1.37590641904306,-1.0227587988576234,10.592429581925305
1.417,0.8422995433167773,-1.1360156157942323,-1.3822671920263574,-1.0248829403384299,10.597173937739147
1.418,0.8409140948845732,-1.1370415493835127,-1.3886300071113804,-1.0269796615547997,10.60192953237312
1.419,0.8395222826444236,-1.138069565950824,-1.3949947965644935,-1.0290488832380582,10.60669624655535
1.42,0.8381241046561442,-1.1390996379572496,-1.4013614918924886,-1.0310905267235893,10.611473960498788
1.421,0.8367195590484223,-1.1401317377855131,-1.4077300238438564,-1.0331045139552495,10.616262553902889
1.422,0.8353086440195764,-1.1411658377405873,-1.4141003224101032,-1.0350907674897858,10.621061905955328
1.423,0.83389135783831,-1.1422019100503116,-1.4204723168271263,-1.0370492105012563,10.625871895333736
1.424,0.8324676988444696,-1.1432399268660072,-1.4268459355766239,-1.0389797667854477,10.630692400207487
1.425,0.8310376654497948,-1.1442798602631068,-1.4332211063875848,-1.040882360764304,10.635523298239528
1.426,0.8296012561386731,-1.145321682241778,-1.4395977562378057,-1.0427569174903502,10.640364466588222
1.427,0.8281584694688884,-1.1463653647275587,-1.445975811355473,-1.0446033626511173,10.645215781909256
1.428,0.8267093040723714,-1.1474108795719935,-1.4523551972207955,-1.0464216225735725,10.650077120357556
1.429,0.8252537586559444,-1.1484581985532762,-1.4587358385676943,-1.048211624228547,10.654948357589289
1.43,0.8237918320020706,-1.149507293376894,-1.4651176593855266,-1.0499732952351615,10.659829368763829
1.431,0.8223235229695928,-1.1505581356762802,-1.4715005829208925,-1.0517065638652578,10.664720028545831
1.432,0.8208488304944794,-1.151610697013468,-1.4778845316794647,-1.0534113590478247,10.66962021110731
1.433,0.8193677535905624,-1.1526649488797496,-1.4842694274278894,-1.0550876103734241,10.67452979012975
1.434,0.8178802913502758,-1.1537208626963404,-1.4906551911957333,-1.0567352480986167,10.679448638806273
1.435,0.8163864429453914,-1.1547784098150482,-1.4970417432774872,-1.0583542031503865,10.684376629843836
1.436,0.8148862076277543,-1.1558375615189431,-1.5034290032346116,-1.059944407130559,10.689313635465464
1.437,0.8133795847300124,-1.1568982890230382,-1.5098168898976532,-1.0615057923202242,10.694259527412521
1.438,0.8118665736663482,-1.1579605634749675,-1.5162053213683968,-1.0630382916841496,10.699214176947029
1.439,0.8103471739332064,-1.1590243559556745,-1.5225942150220795,-1.0645418388751937,10.704177454854015
1.44,0.8088213851100182,-1.1600896374801009,-1.5289834875096546,-1.0660163682387154,10.709149231443897
1.441,0.8072892068599247,-1.1611563789978825,-1.5353730547601143,-1.0674618148169797,10.71412937655493
1.442,0.8057506389304991,-1.1622245513940466,-1.5417628319828474,-1.0688781143535553,10.719117759555642
1.443,0.8042056811544631,-1.1632941254897173,-1.5481527336700793,-1.0702652032977151,10.724114249347373
1.444,0.8026543334504036,-1.164365072042823,-1.5545426735993335,-1.0716230188088218,10.729118714366804
1.445,0.8010965958234872,-1.1654373617488074,-1.560932564835968,-1.072951498760717,10.734131022588535
1.446,0.7995324683661696,-1.1665109652413475,-1.5673223197357526,-1.074250581746096,10.73915104152773
1.447,0.7979619512589038,-1.1675858530930747,-1.5737118499475111,-1.0755202070808847,10.744178638242758
1.448,0.7963850447708479,-1.168661995816299,-1.5801010664157922,-1.0767603148086002,10.749213679337906
